person1,3,76,11,22
person2,18,75,14,22
person3,59,76,14,15
person4,97,78,16,20
person5,144,80,10,17
person6,261,98,14,17
person7,287,94,12,16
person8,2,105,13,20
person9,22,108,19,17
person10,44,110,18,15
person11,76,109,21,15
person12,117,109,19,16
person13,136,108,19,17
person14,160,110,20,15
person15,185,108,18,17
person16,214,109,21,16
person17,241,110,18,15
person18,286,108,18,17
person19,303,108,17,17
person20,342,109,19,14
person21,357,109,15,14
person22,34,77,21,25
person23,34,90,22,29
person24,93,93,23,28
person25,163,89,19,31
person26,180,89,18,33
person27,211,93,23,32
person28,252,102,25,23
person29,0,75,343,50
person30,27,7,352,116
